home_tract,work_tract,flow_jobs
31021963300,31055001800,4
31021963300,31055002000,1
31021963300,31055002900,1
31021963300,31055003100,1
31021963300,31055004300,1
31021963300,31055004600,1
31021963300,31055004700,3
31021963300,31055004900,6
31021963300,31055005600,1
31021963300,31055005700,2
31021963300,31055006102,7
31021963300,31055006202,2
31021963300,31055006302,1
31021963300,31055006505,6
31021963300,31055006603,3
31021963300,31055006605,7
31021963300,31055006701,16
31021963300,31055006703,2
31021963300,31055006704,2
31021963300,31055006806,9
31021963300,31055006903,1
31021963300,31055007001,4
31021963300,31055007304,2
31021963300,31055007311,2
31021963300,31055007312,4
31021963300,31055007317,4
31021963300,31055007318,3
31021963300,31055007320,3
31021963300,31055007408,1
31021963300,31055007409,9
31021963300,31055007429,6
31021963300,31055007433,3
31021963300,31055007439,5
31021963300,31055007440,1
31021963300,31055007442,4
31021963300,31055007444,2
31021963300,31055007445,3
31021963300,31055007448,2
31021963300,31055007449,1
31021963300,31055007450,2
31021963300,31055007451,1
31021963300,31055007452,1
31021963300,31055007455,1
31021963300,31055007456,2
31021963300,31055007457,3
31021963300,31055007460,2
31021963300,31055007463,1
31021963300,31055007464,1
31021963300,31055007466,3
31021963300,31055007467,1
31021963300,31055007470,2
31021963300,31055007472,1
31021963300,31055007473,2
31021963300,31055007474,5
31021963300,31055007504,9
31021963300,31055007505,1
31021963300,31055007506,2
31021963300,31055007508,2
31021963300,31055007509,4
31021963300,31055007514,1
31021963300,31055007515,1
31021963300,31055007518,2
31021963300,31055007519,3
31021963300,31055007521,3
31021963300,31055007523,1
31021963400,31055000200,2
31021963400,31055000400,1
31021963400,31055000500,5
31021963400,31055001600,1
31021963400,31055001800,2
31021963400,31055002900,1
31021963400,31055003100,1
31021963400,31055004200,1
31021963400,31055006302,1
31021963400,31055006505,1
31021963400,31055006603,2
31021963400,31055006606,1
31021963400,31055006703,2
31021963400,31055006803,2
31021963400,31055006805,3
31021963400,31055006806,1
31021963400,31055006903,2
31021963400,31055007303,1
31021963400,31055007312,1
31021963400,31055007317,1
31021963400,31055007409,10
31021963400,31055007429,1
31021963400,31055007431,2
31021963400,31055007434,1
31021963400,31055007441,2
31021963400,31055007442,1
31021963400,31055007444,1
31021963400,31055007445,1
31021963400,31055007447,1
31021963400,31055007448,1
31021963400,31055007449,2
31021963400,31055007451,1
31021963400,31055007454,2
31021963400,31055007455,1
31021963400,31055007457,2
31021963400,31055007461,1
31021963400,31055007464,1
31021963400,31055007472,1
31021963400,31055007473,3
31021963400,31055007474,2
31021963400,31055007504,8
31021963400,31055007505,5
31021963400,31055007508,1
31021963400,31055007509,2
31021963400,31055007514,1
31021963400,31055007517,2
31021963400,31055007519,1
31021963400,31055007522,1
31021963400,31055007523,1
31021963400,31055007524,8
31023967600,31055000500,4
31023967600,31055001200,1
31023967600,31055001600,5
31023967600,31055001800,5
31023967600,31055002000,2
31023967600,31055002900,2
31023967600,31055003100,1
31023967600,31055003200,3
31023967600,31055003300,3
31023967600,31055003500,1
31023967600,31055003600,1
31023967600,31055004700,5
31023967600,31055004900,1
31023967600,31055005100,1
31023967600,31055005600,1
31023967600,31055006202,1
31023967600,31055006505,3
31023967600,31055006605,1
31023967600,31055006701,1
31023967600,31055006806,9
31023967600,31055006905,2
31023967600,31055006906,1
31023967600,31055007001,4
31023967600,31055007003,2
31023967600,31055007310,1
31023967600,31055007407,1
31023967600,31055007408,1
31023967600,31055007409,6
31023967600,31055007436,2
31023967600,31055007439,1
31023967600,31055007443,2
31023967600,31055007444,2
31023967600,31055007445,8
31023967600,31055007449,2
31023967600,31055007451,1
31023967600,31055007455,1
31023967600,31055007457,1
31023967600,31055007461,2
31023967600,31055007464,1
31023967600,31055007470,3
31023967600,31055007471,1
31023967600,31055007473,2
